<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.25	10:00:00	0.70788	0.70789	0.70628	0.70689	7628	9877157000	7
2015.11.25	11:00:00	0.70687	0.70704	0.70323	0.70378	10615	13354350000	7
2015.11.25	12:00:00	0.70377	0.70443	0.70253	0.70311	8729	11385700000	7
2015.11.25	13:00:00	0.70309	0.70324	0.70229	0.70267	6864	9141850000	7
2015.11.25	14:00:00	0.70269	0.70308	0.70159	0.70212	6177	7691150000	7
2015.11.25	15:00:00	0.70212	0.70227	0.70028	0.70058	7264	7830650000	7
2015.11.25	16:00:00	0.70061	0.70156	0.70032	0.70095	7541	8608593000	7
2015.11.25	17:00:00	0.70097	0.70356	0.70054	0.70347	8211	9622897000	7
2015.11.25	18:00:00	0.70348	0.70386	0.70231	0.70267	7842	11516850000	7
2015.11.25	19:00:00	0.70267	0.70374	0.70251	0.70285	6015	8705050000	7
2015.11.25	20:00:00	0.70284	0.70285	0.70154	0.70158	3895	4768550000	7
2015.11.25	21:00:00	0.70159	0.70178	0.70114	0.70166	3444	4958450000	7
2015.11.25	22:00:00	0.70166	0.70210	0.70157	0.70208	3141	3964000000	7
2015.11.25	23:00:00	0.70207	0.70224	0.70187	0.70211	4310	4058100000	7
2015.11.26	00:00:00	0.70179	0.70237	0.70158	0.70219	4566	3378150000	0
2015.11.26	01:00:00	0.70219	0.70247	0.70204	0.70238	4093	6008800000	10
2015.11.26	02:00:00	0.70238	0.70271	0.70208	0.70253	4769	5907450000	7
2015.11.26	03:00:00	0.70253	0.70255	0.70212	0.70214	4199	5588600000	9
2015.11.26	04:00:00	0.70214	0.70222	0.70185	0.70203	2946	3314600000	8
2015.11.26	05:00:00	0.70205	0.70227	0.70198	0.70216	3600	4645200000	8
2015.11.26	06:00:00	0.70216	0.70237	0.70208	0.70224	1861	1610900000	7
2015.11.26	07:00:00	0.70225	0.70242	0.70198	0.70224	2860	3175750000	9
2015.11.26	08:00:00	0.70224	0.70244	0.70211	0.70234	2737	3678900000	8
2015.11.26	09:00:00	0.70234	0.70282	0.70181	0.70256	4513	4748350000	7
2015.11.26	10:00:00	0.70256	0.70350	0.70186	0.70350	6519	8115100000	7
2015.11.26	11:00:00	0.70349	0.70431	0.70315	0.70365	6392	7032245000	7
2015.11.26	12:00:00	0.70365	0.70414	0.70350	0.70378	6042	7795670000	7
2015.11.26	13:00:00	0.70378	0.70433	0.70327	0.70395	5069	8103700000	7
2015.11.26	14:00:00	0.70395	0.70401	0.70260	0.70281	4665	7046850000	7
2015.11.26	15:00:00	0.70281	0.70315	0.70246	0.70251	4505	5109850000	7
2015.11.26	16:00:00	0.70252	0.70279	0.70217	0.70239	4349	5631200000	7
2015.11.26	17:00:00	0.70239	0.70256	0.70196	0.70198	4283	5575400000	7
2015.11.26	18:00:00	0.70199	0.70221	0.70151	0.70166	4531	6983300000	7
2015.11.26	19:00:00	0.70166	0.70239	0.70164	0.70239	2812	3511150000	7
2015.11.26	20:00:00	0.70237	0.70277	0.70195	0.70273	6457	5169900000	7
2015.11.26	21:00:00	0.70273	0.70278	0.70259	0.70260	4354	3881448000	7
2015.11.26	22:00:00	0.70260	0.70269	0.70217	0.70239	5211	3051250000	7
2015.11.26	23:00:00	0.70238	0.70258	0.70223	0.70255	6457	6172050000	9
2015.11.27	00:00:00	0.70255	0.70255	0.70184	0.70219	1555	910250000	15
2015.11.27	01:00:00	0.70219	0.70243	0.70203	0.70228	5867	3134500000	8
2015.11.27	02:00:00	0.70228	0.70249	0.70198	0.70210	3195	3983250000	10
2015.11.27	03:00:00	0.70210	0.70266	0.70182	0.70266	3208	3109500000	7
2015.11.27	04:00:00	0.70266	0.70301	0.70266	0.70298	2557	2520649000	7
2015.11.27	05:00:00	0.70298	0.70325	0.70266	0.70266	2488	2815050000	8
2015.11.27	06:00:00	0.70268	0.70303	0.70268	0.70281	2982	4139800000	10
2015.11.27	07:00:00	0.70281	0.70335	0.70281	0.70321	3084	2995080000	9
