<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.09.02	16:00:00	115.942	116.361	115.882	116.025	47256	38286320000	9
2016.09.02	20:00:00	116.024	116.096	115.711	115.711	17519	14074598000	9
2016.09.05	00:00:00	116.072	116.149	115.756	115.924	15000	14926555000	9
2016.09.05	04:00:00	115.926	116.104	115.616	115.738	21431	19629196000	9
2016.09.05	08:00:00	115.736	115.736	115.396	115.442	27243	24497042000	9
2016.09.05	12:00:00	115.443	115.478	115.120	115.300	22669	19039459000	9
2016.09.05	16:00:00	115.299	115.369	115.171	115.216	19198	17540618000	9
2016.09.05	20:00:00	115.216	115.367	115.201	115.257	10376	5039302000	9
2016.09.06	00:00:00	115.210	115.514	115.089	115.482	12899	11520200000	0
2016.09.06	04:00:00	115.481	115.673	115.278	115.568	20895	18934548000	9
2016.09.06	08:00:00	115.568	115.575	115.249	115.416	28242	24314592000	9
2016.09.06	12:00:00	115.416	115.452	115.233	115.327	27226	21419400000	9
2016.09.06	16:00:00	115.327	115.392	114.743	114.818	43241	37911395000	9
2016.09.06	20:00:00	114.819	114.926	114.699	114.827	21894	17344449000	9
2016.09.07	00:00:00	114.724	114.884	113.891	114.049	23524	23280479000	0
2016.09.07	04:00:00	114.050	114.245	113.804	114.126	25120	25486099000	9
2016.09.07	08:00:00	114.126	114.290	114.031	114.203	27612	21758983000	9
2016.09.07	12:00:00	114.202	114.288	114.027	114.058	25603	21212344000	9
2016.09.07	16:00:00	114.058	114.405	114.014	114.375	36580	32071528000	9
2016.09.07	20:00:00	114.374	114.429	114.325	114.325	14391	10400597000	9
2016.09.08	00:00:00	114.314	114.541	114.162	114.312	13770	13035684000	0
2016.09.08	04:00:00	114.312	114.463	114.130	114.272	18524	19504516000	9
2016.09.08	08:00:00	114.272	114.547	114.261	114.462	26059	25435699000	9
2016.09.08	12:00:00	114.462	115.173	114.420	114.989	34521	32570233000	9
2016.09.08	16:00:00	114.990	115.242	114.523	115.208	49360	39599460000	9
2016.09.08	20:00:00	115.210	115.441	115.173	115.421	19372	14528400000	9
2016.09.09	00:00:00	115.389	115.413	115.170	115.208	19332	18400317000	0
2016.09.09	04:00:00	115.208	115.239	115.011	115.125	21715	22034748000	9
2016.09.09	08:00:00	115.126	115.279	115.025	115.140	25794	24380028000	9
2016.09.09	12:00:00	115.140	115.941	115.079	115.666	35509	31916058000	9
2016.09.09	16:00:00	115.666	115.681	115.099	115.233	42065	37406748000	9
2016.09.09	20:00:00	115.239	115.363	115.090	115.106	19108	12624845000	9
2016.09.12	00:00:00	115.194	115.434	114.920	115.422	18867	16826669000	9
2016.09.12	04:00:00	115.422	115.471	115.124	115.266	18428	15393990000	9
2016.09.12	08:00:00	115.265	115.415	114.737	114.752	29246	26709794000	9
2016.09.12	12:00:00	114.753	114.787	114.242	114.306	35732	35597459000	9
2016.09.12	16:00:00	114.306	114.638	114.283	114.494	39098	36127000000	9
2016.09.12	20:00:00	114.496	114.559	114.284	114.404	32370	29121695000	9
2016.09.13	00:00:00	114.418	114.562	113.926	114.019	17825	17024591000	0
2016.09.13	04:00:00	114.017	114.616	113.948	114.528	21130	21511100000	9
2016.09.13	08:00:00	114.528	114.582	114.242	114.298	28187	26825842000	9
2016.09.13	12:00:00	114.292	115.018	114.267	114.944	30675	26776470000	9
2016.09.13	16:00:00	114.944	115.126	114.680	114.818	39501	34764313000	9
2016.09.13	20:00:00	114.817	115.309	114.790	115.054	29671	27272693000	9
2016.09.14	00:00:00	115.025	115.411	114.909	115.297	16070	15423198000	0
2016.09.14	04:00:00	115.296	115.750	115.244	115.554	21425	21797170000	9
2016.09.14	08:00:00	115.555	116.078	115.359	115.505	29299	24101746000	9
2016.09.14	12:00:00	115.504	115.515	115.072	115.353	30593	27623376000	9
2016.09.14	16:00:00	115.349	115.540	115.180	115.334	38381	38280800000	9
2016.09.14	20:00:00	115.336	115.422	114.985	115.227	21285	21685500000	9
2016.09.15	00:00:00	115.131	115.398	115.068	115.162	16927	17713800000	0
2016.09.15	04:00:00	115.161	115.215	114.638	115.080	21683	21641018000	9
2016.09.15	08:00:00	115.081	115.160	114.848	115.025	30231	29276650000	9
2016.09.15	12:00:00	115.023	115.282	114.882	115.189	32709	28178889000	9
2016.09.15	16:00:00	115.191	115.424	114.897	114.951	43134	39925900000	9
2016.09.15	20:00:00	114.952	114.977	114.748	114.769	17791	14222724000	9
2016.09.16	00:00:00	114.733	114.831	114.425	114.635	17434	15726277000	0
2016.09.16	04:00:00	114.635	114.806	114.562	114.696	17276	21111330000	9
2016.09.16	08:00:00	114.696	114.747	114.450	114.585	23888	24532466000	9
2016.09.16	12:00:00	114.585	114.613	114.193	114.269	31175	27773790000	9
2016.09.16	16:00:00	114.264	114.299	113.949	114.204	37558	34229094000	9
2016.09.16	20:00:00	114.203	114.290	114.062	114.062	18169	20780273000	9
2016.09.19	00:00:00	113.898	114.280	113.865	114.060	18446	17520400000	9
2016.09.19	04:00:00	114.061	114.134	113.908	113.950	14494	12022200000	9
2016.09.19	08:00:00	113.949	114.046	113.469	113.696	24994	21425478000	9
2016.09.19	12:00:00	113.699	113.852	113.556	113.679	20853	18590250000	9
2016.09.19	16:00:00	113.678	113.941	113.553	113.705	28079	25566765000	9
2016.09.19	20:00:00	113.703	113.887	113.591	113.885	15390	13139741000	9
2016.09.20	00:00:00	113.881	113.940	113.764	113.807	17243	18915200000	9
2016.09.20	04:00:00	113.807	114.018	113.693	113.719	17670	18487100000	9
2016.09.20	08:00:00	113.719	113.959	113.632	113.832	26257	23917619000	9
2016.09.20	12:00:00	113.831	114.002	113.747	113.845	24976	24181705000	9
2016.09.20	16:00:00	113.845	113.860	113.505	113.507	30425	27132789000	9
2016.09.20	20:00:00	113.509	113.669	113.411	113.418	18048	18998449000	9
2016.09.21	00:00:00	113.378	113.551	113.192	113.473	16954	18700200000	0
2016.09.21	04:00:00	113.473	114.275	112.496	114.212	41554	34860670000	9
2016.09.21	08:00:00	114.211	114.390	113.354	113.528	38320	39824758000	9
2016.09.21	12:00:00	113.528	113.540	112.178	112.283	31449	24528836000	9
2016.09.21	16:00:00	112.283	112.419	112.076	112.402	34133	27065234000	9
2016.09.21	20:00:00	112.401	112.601	112.196	112.253	41602	43448947000	9
2016.09.22	00:00:00	112.236	112.405	112.078	112.138	16622	12379600000	0
2016.09.22	04:00:00	112.138	112.399	112.102	112.301	14204	11437550000	9
2016.09.22	08:00:00	112.300	113.373	112.242	113.260	30763	23974720000	9
2016.09.22	12:00:00	113.261	113.332	113.037	113.092	30339	23210991000	9
2016.09.22	16:00:00	113.091	113.490	113.026	113.173	34420	29922661000	9
2016.09.22	20:00:00	113.173	113.185	112.903	112.904	19290	18455316000	9
2016.09.23	00:00:00	112.892	113.311	112.874	113.203	18071	15977150000	0
2016.09.23	04:00:00	113.203	113.431	113.159	113.204	23557	22539250000	9
2016.09.23	08:00:00	113.204	113.296	112.945	113.106	31084	27143096000	9
2016.09.23	12:00:00	113.107	113.207	112.926	113.092	28318	23216200000	9
2016.09.23	16:00:00	113.091	113.457	113.082	113.417	34998	31082399000	9
2016.09.23	20:00:00	113.417	113.615	113.065	113.065	16672	12250549000	9
2016.09.26	00:00:00	113.338	113.509	113.179	113.207	10136	14478860000	0
2016.09.26	04:00:00	113.207	113.477	113.155	113.474	14784	25836595000	18
2016.09.26	08:00:00	113.474	113.487	112.896	113.076	28182	33776204000	9
2016.09.26	12:00:00	113.076	113.225	112.839	113.213	30173	28243788000	9
2016.09.26	16:00:00	113.212	113.215	112.891	112.907	36735	35442950000	9
2016.09.26	20:00:00	112.906	113.019	112.809	112.914	16088	13283150000	9
2016.09.27	00:00:00	112.914	112.942	112.484	112.816	17618	17386750000	9
2016.09.27	04:00:00	112.821	113.442	112.690	113.268	29911	31361430000	9
2016.09.27	08:00:00	113.270	113.567	112.971	113.016	35848	32746654000	9
2016.09.27	12:00:00	113.016	113.035	112.314	112.364	35765	32165842000	9
2016.09.27	16:00:00	112.365	112.690	112.241	112.596	42108	38658039000	9
2016.09.27	20:00:00	112.595	112.648	112.488	112.600	18408	12155800000	9
2016.09.28	00:00:00	112.614	112.798	112.454	112.715	18874	17948950000	0
2016.09.28	04:00:00	112.715	112.888	112.600	112.859	22032	19904300000	9
2016.09.28	08:00:00	112.858	113.063	112.521	113.007	32043	29018544000	9
2016.09.28	12:00:00	113.007	113.098	112.753	112.929	29330	26499500000	9
2016.09.28	16:00:00	112.928	112.993	112.516	112.739	39565	37640812000	9
2016.09.28	20:00:00	112.738	113.049	112.689	112.928	26870	20948810000	9
2016.09.29	00:00:00	112.903	113.608	112.879	113.556	20920	17776849000	9
2016.09.29	04:00:00	113.556	113.995	113.476	113.880	23733	21231618000	9
